"origem","estado_origem","destino","estado_destino","aliquota"
BA,Bahia,RR,Roraima,12.0
BA,Bahia,SC,Santa Catarina,12.0
BA,Bahia,SP,São Paulo,12.0
BA,Bahia,SE,Sergipe,12.0
BA,Bahia,TO,Tocantins,12.0
CE,Ceará,AC,Acre,12.0
CE,Ceará,AL,Alagoas,12.0
CE,Ceará,AM,Amazonas,12.0
CE,Ceará,AP,Amapá,12.0
CE,Ceará,BA,Bahia,12.0
CE,Ceará,DF,Distrito Federal,12.0
CE,Ceará,ES,Espírito Santo,12.0
CE,Ceará,GO,Goiás,12.0
CE,Ceará,MA,Maranhão,12.0
CE,Ceará,MT,Mato Grosso,12.0
CE,Ceará,MS,Mato Grosso do Sul,12.0
CE,Ceará,MG,Minas Gerais,12.0
CE,Ceará,PA,Pará,12.0
CE,Ceará,PB,Paraíba,12.0
CE,Ceará,PR,Paraná,12.0
CE,Ceará,PE,Pernambuco,12.0
CE,Ceará,PI,Piauí,12.0
CE,Ceará,RN,Rio Grande do Norte,12.0
CE,Ceará,RS,Rio Grande do Sul,12.0
CE,Ceará,RJ,Rio de Janeiro,12.0
CE,Ceará,RO,Rondônia,12.0
CE,Ceará,RR,Roraima,12.0
CE,Ceará,SC,Santa Catarina,12.0
CE,Ceará,SP,São Paulo,12.0
CE,Ceará,SE,Sergipe,12.0
CE,Ceará,TO,Tocantins,12.0
DF,Distrito Federal,AC,Acre,12.0
DF,Distrito Federal,AL,Alagoas,12.0
DF,Distrito Federal,AM,Amazonas,12.0
DF,Distrito Federal,AP,Amapá,12.0
DF,Distrito Federal,BA,Bahia,12.0
DF,Distrito Federal,CE,Ceará,12.0
DF,Distrito Federal,ES,Espírito Santo,12.0
DF,Distrito Federal,GO,Goiás,12.0
DF,Distrito Federal,MA,Maranhão,12.0
DF,Distrito Federal,MT,Mato Grosso,12.0
DF,Distrito Federal,MS,Mato Grosso do Sul,12.0
DF,Distrito Federal,MG,Minas Gerais,12.0
DF,Distrito Federal,PA,Pará,12.0
DF,Distrito Federal,PB,Paraíba,12.0
DF,Distrito Federal,PR,Paraná,12.0
DF,Distrito Federal,PE,Pernambuco,12.0
DF,Distrito Federal,PI,Piauí,12.0
DF,Distrito Federal,RN,Rio Grande do Norte,12.0
DF,Distrito Federal,RS,Rio Grande do Sul,12.0
DF,Distrito Federal,RJ,Rio de Janeiro,12.0
DF,Distrito Federal,RO,Rondônia,12.0
DF,Distrito Federal,RR,Roraima,12.0
DF,Distrito Federal,SC,Santa Catarina,12.0
DF,Distrito Federal,SP,São Paulo,12.0
DF,Distrito Federal,SE,Sergipe,12.0
DF,Distrito Federal,TO,Tocantins,12.0
ES,Espírito Santo,AC,Acre,12.0
ES,Espírito Santo,AL,Alagoas,12.0
ES,Espírito Santo,AM,Amazonas,12.0
ES,Espírito Santo,AP,Amapá,12.0
ES,Espírito Santo,BA,Bahia,12.0
ES,Espírito Santo,CE,Ceará,12.0
ES,Espírito Santo,DF,Distrito Federal,12.0
ES,Espírito Santo,GO,Goiás,12.0
ES,Espírito Santo,MA,Maranhão,12.0
ES,Espírito Santo,MT,Mato Grosso,12.0
ES,Espírito Santo,MS,Mato Grosso do Sul,12.0
ES,Espírito Santo,MG,Minas Gerais,12.0
ES,Espírito Santo,PA,Pará,12.0
ES,Espírito Santo,PB,Paraíba,12.0
ES,Espírito Santo,PR,Paraná,12.0
ES,Espírito Santo,PE,Pernambuco,12.0
ES,Espírito Santo,PI,Piauí,12.0
ES,Espírito Santo,RN,Rio Grande do Norte,12.0
ES,Espírito Santo,RS,Rio Grande do Sul,12.0
ES,Espírito Santo,RJ,Rio de Janeiro,12.0
ES,Espírito Santo,RO,Rondônia,12.0
ES,Espírito Santo,RR,Roraima,12.0
ES,Espírito Santo,SC,Santa Catarina,12.0
ES,Espírito Santo,SP,São Paulo,12.0
ES,Espírito Santo,SE,Sergipe,12.0
ES,Espírito Santo,TO,Tocantins,12.0
GO,Goiás,AC,Acre,12.0
GO,Goiás,AL,Alagoas,12.0
GO,Goiás,AM,Amazonas,12.0
GO,Goiás,AP,Amapá,12.0
GO,Goiás,BA,Bahia,12.0
GO,Goiás,CE,Ceará,12.0
GO,Goiás,DF,Distrito Federal,12.0
GO,Goiás,ES,Espírito Santo,12.0
GO,Goiás,MA,Maranhão,12.0
GO,Goiás,MT,Mato Grosso,12.0
GO,Goiás,MS,Mato Grosso do Sul,12.0
GO,Goiás,MG,Minas Gerais,12.0
GO,Goiás,PA,Pará,12.0
GO,Goiás,PB,Paraíba,12.0
GO,Goiás,PR,Paraná,12.0
GO,Goiás,PE,Pernambuco,12.0
GO,Goiás,PI,Piauí,12.0
GO,Goiás,RN,Rio Grande do Norte,12.0
GO,Goiás,RS,Rio Grande do Sul,12.0
GO,Goiás,RJ,Rio de Janeiro,12.0
GO,Goiás,RO,Rondônia,12.0
GO,Goiás,RR,Roraima,12.0
GO,Goiás,SC,Santa Catarina,12.0
GO,Goiás,SP,São Paulo,12.0
GO,Goiás,SE,Sergipe,12.0
GO,Goiás,TO,Tocantins,12.0
MA,Maranhão,AC,Acre,12.0
MA,Maranhão,AL,Alagoas,12.0
MA,Maranhão,AM,Amazonas,12.0
