"origem","estado_origem","destino","estado_destino","aliquota"
RR,Roraima,PB,Paraíba,12.0
RR,Roraima,PR,Paraná,12.0
RR,Roraima,PE,Pernambuco,12.0
RR,Roraima,PI,Piauí,12.0
RR,Roraima,RN,Rio Grande do Norte,12.0
RR,Roraima,RS,Rio Grande do Sul,12.0
RR,Roraima,RJ,Rio de Janeiro,12.0
RR,Roraima,RO,Rondônia,12.0
RR,Roraima,SC,Santa Catarina,12.0
RR,Roraima,SP,São Paulo,12.0
RR,Roraima,SE,Sergipe,12.0
RR,Roraima,TO,Tocantins,12.0
SC,Santa Catarina,AC,Acre,7.0
SC,Santa Catarina,AL,Alagoas,7.0
SC,Santa Catarina,AM,Amazonas,7.0
SC,Santa Catarina,AP,Amapá,7.0
SC,Santa Catarina,BA,Bahia,7.0
SC,Santa Catarina,CE,Ceará,7.0
SC,Santa Catarina,DF,Distrito Federal,7.0
SC,Santa Catarina,ES,Espírito Santo,7.0
SC,Santa Catarina,GO,Goiás,7.0
SC,Santa Catarina,MA,Maranhão,7.0
SC,Santa Catarina,MT,Mato Grosso,7.0
SC,Santa Catarina,MS,Mato Grosso do Sul,7.0
SC,Santa Catarina,MG,Minas Gerais,12.0
SC,Santa Catarina,PA,Pará,7.0
SC,Santa Catarina,PB,Paraíba,7.0
SC,Santa Catarina,PR,Paraná,12.0
SC,Santa Catarina,PE,Pernambuco,7.0
SC,Santa Catarina,PI,Piauí,7.0
SC,Santa Catarina,RN,Rio Grande do Norte,7.0
SC,Santa Catarina,RS,Rio Grande do Sul,12.0
SC,Santa Catarina,RJ,Rio de Janeiro,12.0
SC,Santa Catarina,RO,Rondônia,7.0
SC,Santa Catarina,RR,Roraima,7.0
SC,Santa Catarina,SP,São Paulo,12.0
SC,Santa Catarina,SE,Sergipe,7.0
SC,Santa Catarina,TO,Tocantins,7.0
SP,São Paulo,AC,Acre,7.0
SP,São Paulo,AL,Alagoas,7.0
SP,São Paulo,AM,Amazonas,7.0
SP,São Paulo,AP,Amapá,7.0
SP,São Paulo,BA,Bahia,7.0
SP,São Paulo,CE,Ceará,7.0
SP,São Paulo,DF,Distrito Federal,7.0
SP,São Paulo,ES,Espírito Santo,7.0
SP,São Paulo,GO,Goiás,7.0
SP,São Paulo,MA,Maranhão,7.0
SP,São Paulo,MT,Mato Grosso,7.0
SP,São Paulo,MS,Mato Grosso do Sul,7.0
SP,São Paulo,MG,Minas Gerais,12.0
SP,São Paulo,PA,Pará,7.0
SP,São Paulo,PB,Paraíba,7.0
SP,São Paulo,PR,Paraná,12.0
SP,São Paulo,PE,Pernambuco,7.0
SP,São Paulo,PI,Piauí,7.0
SP,São Paulo,RN,Rio Grande do Norte,7.0
SP,São Paulo,RS,Rio Grande do Sul,12.0
SP,São Paulo,RJ,Rio de Janeiro,12.0
SP,São Paulo,RO,Rondônia,7.0
SP,São Paulo,RR,Roraima,7.0
SP,São Paulo,SC,Santa Catarina,12.0
SP,São Paulo,SE,Sergipe,7.0
SP,São Paulo,TO,Tocantins,7.0
SE,Sergipe,AC,Acre,12.0
SE,Sergipe,AL,Alagoas,12.0
SE,Sergipe,AM,Amazonas,12.0
SE,Sergipe,AP,Amapá,12.0
SE,Sergipe,BA,Bahia,12.0
SE,Sergipe,CE,Ceará,12.0
SE,Sergipe,DF,Distrito Federal,12.0
SE,Sergipe,ES,Espírito Santo,12.0
SE,Sergipe,GO,Goiás,12.0
SE,Sergipe,MA,Maranhão,12.0
SE,Sergipe,MT,Mato Grosso,12.0
SE,Sergipe,MS,Mato Grosso do Sul,12.0
SE,Sergipe,MG,Minas Gerais,12.0
SE,Sergipe,PA,Pará,12.0
SE,Sergipe,PB,Paraíba,12.0
SE,Sergipe,PR,Paraná,12.0
SE,Sergipe,PE,Pernambuco,12.0
SE,Sergipe,PI,Piauí,12.0
SE,Sergipe,RN,Rio Grande do Norte,12.0
SE,Sergipe,RS,Rio Grande do Sul,12.0
SE,Sergipe,RJ,Rio de Janeiro,12.0
SE,Sergipe,RO,Rondônia,12.0
SE,Sergipe,RR,Roraima,12.0
SE,Sergipe,SC,Santa Catarina,12.0
SE,Sergipe,SP,São Paulo,12.0
SE,Sergipe,TO,Tocantins,12.0
TO,Tocantins,AC,Acre,12.0
TO,Tocantins,AL,Alagoas,12.0
TO,Tocantins,AM,Amazonas,12.0
TO,Tocantins,AP,Amapá,12.0
TO,Tocantins,BA,Bahia,12.0
TO,Tocantins,CE,Ceará,12.0
TO,Tocantins,DF,Distrito Federal,12.0
TO,Tocantins,ES,Espírito Santo,12.0
TO,Tocantins,GO,Goiás,12.0
TO,Tocantins,MA,Maranhão,12.0
TO,Tocantins,MT,Mato Grosso,12.0
TO,Tocantins,MS,Mato Grosso do Sul,12.0
TO,Tocantins,MG,Minas Gerais,12.0
TO,Tocantins,PA,Pará,12.0
TO,Tocantins,PB,Paraíba,12.0
TO,Tocantins,PR,Paraná,12.0
TO,Tocantins,PE,Pernambuco,12.0
TO,Tocantins,PI,Piauí,12.0
TO,Tocantins,RN,Rio Grande do Norte,12.0
TO,Tocantins,RS,Rio Grande do Sul,12.0
TO,Tocantins,RJ,Rio de Janeiro,12.0
TO,Tocantins,RO,Rondônia,12.0
TO,Tocantins,RR,Roraima,12.0
TO,Tocantins,SC,Santa Catarina,12.0
TO,Tocantins,SP,São Paulo,12.0
TO,Tocantins,SE,Sergipe,12.0
